location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km,price_growth_21_25,price_growth_23_25,price_cagr,total_value_lakhs,value_per_bhk,sqft_per_bhk,connectivity_score,price_per_sqft_norm,annual_growth_rate_pct_norm,total_value_lakhs_norm,connectivity_score_norm,distance_to_it_hub_km_norm,zone_enc,type_enc,loc_enc,predicted_price_1yr,predicted_price_3yr,predicted_price_5yr,roi_1yr,roi_3yr,roi_5yr,growth_rate_index,investment_score,category,location_rank,location_insight,best_city_flag
Gottigere,12.872,77.6007,South,Apartment,2,1180,7000,5159,5469,5938,6447,7000,7.7,0,10.9,9.5,48.9,35.68521031207598,17.88480970023577,7.927751177655007,82.6,41.3,590.0,14.65,0.08059701492537313,0.2056950168602473,0.07842973944668859,0.14021739130434785,0.32,3,0,7,7549.0,8786.0,10240.0,7.84,25.51,46.29,10.33,29.4,Stable,142,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Hulimavu,12.8962,77.6106,South,Villa,2,1020,6700,4844,5154,5625,6139,6700,8.1,0,7.2,7.2,45.1,38.31544178364988,19.11111111111111,8.447031101696378,68.34,34.17,510.0,20.25,0.0626865671641791,0.22068190333458224,0.05863490609253322,0.2619565217391305,0.20615384615384616,3,2,12,7282.0,8515.0,10040.0,8.69,27.09,49.85,10.97,33.8,Stable,111,Hulimavu offers steady 9.0% annual appreciation. Investment score: 35/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 49.9%.,0
Gottigere,12.8714,77.6031,South,Apartment,1,530,6650,4901,5195,5641,6125,6650,7.29,0,9.2,8.8,44.5,35.686594572536215,17.886899485906753,7.928026446320269,35.245,35.245,530.0,18.55,0.05970149253731343,0.19033345822405398,0.012694512694512688,0.22500000000000003,0.2676923076923077,3,0,7,7206.0,8377.0,9747.0,8.36,25.97,46.57,10.16,31.4,Stable,107,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Nagarbhavi,12.9603,77.4992,West,Builder Floor,2,1300,6250,5095,5297,5597,5915,6250,5.0,0,16.9,6.8,38.1,22.669283611383708,11.66696444523852,5.240755529554764,81.25,40.625,650.0,14.05,0.03582089552238806,0.10453353315848633,0.07655575452185621,0.1271739130434783,0.5046153846153846,4,1,25,6587.0,7276.0,8112.0,5.39,16.42,29.79,6.75,23.8,Stable,46,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Indiranagar,12.9789,77.6391,East,Apartment,4,2240,18900,12689,13696,15248,16976,18900,11.39,1,6.8,3.9,38.2,48.94790763653558,23.95068205666317,10.47362419533846,423.36,105.84,560.0,49.1,0.7910447761194029,0.3439490445859873,0.5514512972140091,0.8891304347826088,0.19384615384615383,1,0,13,20884.0,25518.0,31121.0,10.5,35.02,64.66,14.21,45.0,Premium,63,"Indiranagar commands premium pricing at Rs 19,558/sqft with a 11.3% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Nagarbhavi,12.9582,77.5066,West,Builder Floor,3,1920,6150,5013,5212,5508,5820,6150,6.02,0,16.5,7.6,44.9,22.681029323758228,11.655773420479303,5.243274667242348,118.08,39.36,640.0,11.05,0.029850746268656716,0.14275009366804045,0.1276808395452463,0.061956521739130466,0.49230769230769234,4,1,25,6473.0,7184.0,7929.0,5.25,16.81,28.93,7.16,23.5,Stable,59,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Itpl,12.9832,77.7244,East,Villa,2,950,10700,6814,7431,8391,9475,10700,11.13,0,1.4,14.3,41.6,57.02964484884062,27.517578357764272,11.94260577884445,101.65,50.825,475.0,27.8,0.30149253731343284,0.33420756837766963,0.10487374894154557,0.42608695652173917,0.02769230769230769,1,2,14,11977.0,15027.0,18758.0,11.93,40.44,75.31,15.51,42.0,Stable,138,Itpl offers steady 13.0% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 75.7%.,0
Koramangala,12.9367,77.6207,South,Villa,2,1300,21050,13178,14418,16356,18555,21050,14.26,0,4.8,5.2,38.8,59.73592350887843,28.698948398141354,12.421829686740683,273.65,136.825,650.0,25.8,0.9194029850746268,0.45147995503934063,0.3436333097350046,0.3826086956521739,0.1323076923076923,3,2,19,23641.0,29881.0,37814.0,12.31,41.95,79.64,17.23,36.4,Premium,20,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Koramangala,12.9391,77.6268,South,Apartment,3,1430,22250,13929,15240,17289,19613,22250,13.84,0,4.8,5.0,36.0,59.73867470744489,28.694545664873615,12.422313755653036,318.175,106.05833333333334,476.6666666666667,27.2,0.991044776119403,0.4357437242412889,0.4054401088299393,0.41304347826086957,0.1323076923076923,3,0,19,25009.0,31608.0,39947.0,12.4,42.06,79.54,17.06,35.5,Premium,35,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Bannerghatta Road,12.8739,77.597,South,Apartment,2,1260,9050,5666,6199,7032,7977,9050,14.09,0,8.5,7.0,40.1,59.72467349099894,28.697383390216153,12.419850199330096,114.03,57.015,630.0,21.45,0.20298507462686566,0.4451105282877482,0.1220588847707492,0.28804347826086957,0.24615384615384617,3,0,2,10206.0,12882.0,16263.0,12.77,42.34,79.7,17.16,44.5,Stable,19,Bannerghatta Road offers steady 13.5% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 79.6%.,0
Rt Nagar,13.021,77.5854,North,Apartment,2,900,7400,6227,6435,6742,7063,7400,4.57,0,13.2,5.9,26.8,18.83732134254055,9.759715218036192,4.409066658752314,66.6,33.3,450.0,23.400000000000002,0.1044776119402985,0.08842263019857627,0.05621954774497147,0.3304347826086957,0.39076923076923076,2,0,29,7710.0,8398.0,9155.0,4.19,13.49,23.72,5.81,26.5,Stable,115,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
Banashankari,12.9317,77.5488,South,Builder Floor,2,1310,9150,7157,7500,8014,8563,9150,6.46,1,11.2,4.9,36.6,27.846863210842532,14.175193411529824,6.334090110795509,119.865,59.9325,655.0,45.5,0.208955223880597,0.15923566878980894,0.13015866405696913,0.8108695652173913,0.3292307692307692,3,1,1,9731.0,10981.0,12362.0,6.35,20.01,35.1,8.34,41.0,Stable,125,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Hoodi,12.9835,77.7173,East,Builder Floor,1,520,9850,6382,6936,7796,8763,9850,13.63,1,3.9,11.0,34.6,54.340332184268256,26.346844535659315,11.460210177944674,51.22,51.22,520.0,53.8,0.2507462686567164,0.4278756088422631,0.03487000097169588,0.9913043478260868,0.10461538461538461,1,1,10,10977.0,13628.0,16881.0,11.44,38.36,71.38,16.05,59.6,High Potential,3,"Hoodi presents an emerging opportunity — current price Rs 10,418/sqft is still accessible, while connectivity score of 52 and 12.4% growth signal strong upside. 5-year ROI estimate: 72.0%. Early-entry advantage recommended.",0
Yelahanka,13.0961,77.5928,North,Apartment,3,1680,10750,6149,6847,7958,9249,10750,13.79,0,23.3,5.4,12.4,74.82517482517483,35.08419200804222,14.987595564472201,180.6,60.199999999999996,560.0,23.8,0.3044776119402985,0.433870363431997,0.214467163619706,0.33913043478260874,0.7015384615384616,2,0,34,12366.0,16364.0,21663.0,15.03,52.22,101.52,19.53,47.0,Stable,142,Yelahanka is among the fastest appreciating micro-markets with 16.2% YoY growth. Investment score: 50/100. Projected 3-year ROI: 52.1%. Ideal for growth-oriented investors with a medium horizon.,0
Jp Nagar,12.9109,77.5857,South,Apartment,1,600,9950,7194,7654,8354,9117,9950,8.34,1,9.2,6.7,38.0,38.30970252988601,19.104620541058175,8.445906110320855,59.7,59.7,600.0,46.8,0.25671641791044775,0.22967403521918323,0.04664140257360597,0.8391304347826086,0.2676923076923077,3,0,16,10816.0,12684.0,14944.0,8.7,27.48,50.19,11.07,45.7,Stable,109,Jp Nagar offers steady 9.1% annual appreciation. Investment score: 47/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 50.3%.,0
Rajarajeshwari Nagar,12.9246,77.5076,West,Builder Floor,3,1740,7350,5578,5880,6334,6823,7350,6.73,1,13.8,8.1,39.7,31.767658659017567,16.040416798231767,7.140139447101257,127.89,42.63,580.0,41.349999999999994,0.10149253731343283,0.16935181715998504,0.14129846333236162,0.7206521739130433,0.40923076923076923,4,1,27,7887.0,9066.0,10425.0,7.31,23.35,41.84,9.2,41.7,Stable,58,Rajarajeshwari Nagar offers steady 7.6% annual appreciation. Investment score: 41/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 41.1%.,0
Malleshwaram,13.0067,77.5668,North,Apartment,3,2000,13550,12323,12547,12873,13207,13550,2.69,1,14.7,3.2,25.6,9.956990992453136,5.2590693699992235,2.4013569600426,271.0,90.33333333333333,666.6666666666666,47.5,0.4716417910447761,0.01798426376920195,0.3399547467344078,0.8543478260869565,0.4369230769230769,2,0,21,13857.0,14530.0,15233.0,2.27,7.23,12.42,3.23,29.9,Stable,58,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Hoodi,12.9804,77.7178,East,Apartment,2,1140,10400,6739,7324,8232,9253,10400,13.96,1,3.9,13.0,39.8,54.32556759163081,26.336248785228378,11.457544439808931,118.56,59.28,570.0,51.2,0.2835820895522388,0.4402397901835894,0.12834714529629784,0.9347826086956522,0.10461538461538461,1,0,10,11611.0,14354.0,17905.0,11.64,38.02,72.16,16.18,58.2,High Potential,25,"Hoodi presents an emerging opportunity — current price Rs 10,418/sqft is still accessible, while connectivity score of 52 and 12.4% growth signal strong upside. 5-year ROI estimate: 72.0%. Early-entry advantage recommended.",0
Banashankari,12.9267,77.5579,South,Builder Floor,2,930,8950,7000,7336,7839,8376,8950,6.02,1,10.3,5.2,41.1,27.857142857142858,14.17272611302462,6.336227519276627,83.235,41.6175,465.0,44.150000000000006,0.19701492537313434,0.14275009366804045,0.0793112064298505,0.7815217391304349,0.30153846153846153,3,1,1,9534.0,10755.0,12127.0,6.53,20.17,35.5,8.17,40.0,Stable,140,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Jayanagar,12.9241,77.5908,South,Apartment,2,870,14750,10366,11090,12196,13412,14750,10.48,1,9.8,4.2,35.3,42.292108817287286,20.94129222695966,9.218247581197092,128.325,64.1625,435.0,47.550000000000004,0.5432835820895522,0.30985387785687524,0.14190230291925207,0.8554347826086959,0.2861538461538462,3,0,15,16208.0,19218.0,22996.0,9.88,30.29,55.91,12.65,45.4,Stable,11,Jayanagar offers steady 10.0% annual appreciation. Investment score: 44/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 55.4%.,0
Sarjapur Road,12.8989,77.6856,East,Apartment,3,1570,11450,6931,7633,8738,10002,11450,13.96,0,4.6,13.2,40.6,65.19982686481028,31.03685053788052,13.371109526406766,179.765,59.92166666666666,523.3333333333334,25.1,0.34626865671641793,0.4402397901835894,0.21330806924027262,0.36739130434782613,0.12615384615384614,1,0,30,13001.0,16717.0,21489.0,13.55,46.0,87.68,18.02,45.3,Stable,60,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Nagarbhavi,12.9617,77.4975,West,Apartment,1,700,5750,4687,4873,5149,5441,5750,6.51,0,16.9,6.7,43.7,22.679752506934072,11.67216935327248,5.2430008333233635,40.25,40.25,700.0,11.25,0.005970149253731343,0.16110902959910078,0.01964213828620608,0.06630434782608698,0.5046153846153846,4,0,25,6050.0,6705.0,7431.0,5.22,16.61,29.23,7.36,24.7,Stable,16,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Whitefield,12.973,77.7549,East,Apartment,3,2070,14200,6161,7245,9067,11347,14200,22.54,1,1.9,13.5,42.5,130.48206459990263,56.611889268776885,23.213780756265745,293.94,97.98,690.0,51.85,0.5104477611940299,0.7617085050580742,0.37179860908674467,0.948913043478261,0.043076923076923075,1,0,33,17473.0,26541.0,40302.0,23.05,86.91,183.82,31.29,82.6,High Growth,120,Whitefield is among the fastest appreciating micro-markets with 25.1% YoY growth. Investment score: 86/100. Projected 3-year ROI: 87.1%. Ideal for growth-oriented investors with a medium horizon.,1
Electronic City,12.8417,77.6601,South,Builder Floor,1,460,7100,4406,4829,5491,6244,7100,13.31,0,0.8,17.3,59.8,61.143894689060375,29.30249499180477,12.668746860672385,32.66,32.66,460.0,19.3,0.08656716417910448,0.41588609966279516,0.009106178597704014,0.24130434782608698,0.009230769230769232,3,1,5,7996.0,10161.0,12935.0,12.62,43.11,82.18,17.08,44.4,Stable,121,Electronic City offers steady 13.8% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 81.5%.,0
Koramangala,12.9374,77.6292,South,Apartment,3,1470,20700,12958,14178,16084,18247,20700,12.9,0,5.2,5.2,40.7,59.746874517672474,28.69932852524248,12.423756461834156,304.29,101.43,490.0,24.45,0.8985074626865671,0.4005245410266018,0.38616582684379297,0.3532608695652174,0.14461538461538462,3,0,19,23293.0,29397.0,37130.0,12.53,42.01,79.37,16.68,34.1,Premium,56,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Sarjapur Road,12.8967,77.6905,East,Villa,2,1060,12700,7688,8467,9692,11094,12700,13.89,0,4.4,11.1,42.7,65.19250780437045,31.035905901774658,13.369853799017783,134.62,67.31,530.0,24.25,0.4208955223880597,0.4376170850505808,0.15064062521689642,0.3489130434782609,0.12000000000000001,1,2,30,14412.0,18501.0,23708.0,13.48,45.68,86.68,17.99,43.5,Stable,100,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Varthur,12.9421,77.7473,East,Apartment,2,1250,7450,4913,5321,5953,6660,7450,11.08,0,3.6,11.9,39.0,51.63851007531041,25.146984713589788,10.96918007642207,93.125,46.5625,625.0,26.9,0.10746268656716418,0.3323342075683777,0.0930398811754744,0.40652173913043477,0.09538461538461539,1,0,32,8287.0,10221.0,12567.0,11.23,37.19,68.68,14.56,43.4,Stable,65,Varthur offers steady 11.9% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 68.2%.,0
Rajarajeshwari Nagar,12.9237,77.5067,West,Apartment,2,1280,7800,5920,6240,6722,7241,7800,6.77,1,14.1,8.8,42.9,31.756756756756754,16.036893781612616,7.13792329713443,99.84,49.92,640.0,39.45,0.12835820895522387,0.1708505058074185,0.10236122100528881,0.6793478260869567,0.41846153846153844,4,0,27,8367.0,9595.0,11003.0,7.27,23.01,41.06,9.22,40.2,Stable,112,Rajarajeshwari Nagar offers steady 7.6% annual appreciation. Investment score: 41/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 41.1%.,0
Anjanapura,12.8544,77.5651,South,Villa,2,1170,6050,4637,4878,5241,5631,6050,7.79,0,12.8,10.9,45.8,30.47228811731723,15.435985498950583,6.875847029361859,70.785,35.3925,585.0,14.3,0.023880597014925373,0.20906706631697267,0.062028901011951854,0.13260869565217395,0.37846153846153846,3,2,0,6470.0,7398.0,8455.0,6.94,22.28,39.75,9.38,29.3,Stable,35,Anjanapura offers steady 7.5% annual appreciation. Investment score: 28/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 39.4%.,0
Kengeri,12.9189,77.4806,West,Builder Floor,1,490,6000,4693,4918,5255,5615,6000,7.24,1,20.0,9.5,43.4,27.84998934583422,14.176974310180782,6.334740130012828,29.4,29.4,490.0,33.3,0.020895522388059702,0.1884600974147621,0.004580852038479153,0.5456521739130434,0.6,4,1,18,6381.0,7201.0,8171.0,6.35,20.02,36.18,8.66,38.4,Stable,44,Kengeri offers steady 6.8% annual appreciation. Investment score: 38/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Rt Nagar,13.0221,77.5892,North,Apartment,3,1510,7400,6227,6435,6742,7063,7400,5.42,0,14.0,5.3,23.7,18.83732134254055,9.759715218036192,4.409066658752314,111.74,37.24666666666666,503.3333333333333,24.15,0.1044776119402985,0.12026976395653804,0.1188800510834409,0.3467391304347826,0.4153846153846154,2,0,29,7711.0,8399.0,9160.0,4.2,13.5,23.78,6.15,28.0,Stable,28,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
Hoodi,12.9793,77.715,East,Apartment,2,1160,9700,6285,6831,7678,8630,9700,10.76,1,4.1,11.0,41.5,54.335719968178196,26.334983068507423,11.459377465703291,112.52,56.26,580.0,50.15,0.2417910447761194,0.3203446983889098,0.1199627979288996,0.9119565217391304,0.11076923076923076,1,0,10,10813.0,13463.0,16816.0,11.47,38.79,73.36,14.9,54.3,High Potential,131,"Hoodi presents an emerging opportunity — current price Rs 10,418/sqft is still accessible, while connectivity score of 52 and 12.4% growth signal strong upside. 5-year ROI estimate: 72.0%. Early-entry advantage recommended.",0
Whitefield,12.9714,77.7472,East,Apartment,1,620,14950,6486,7628,9546,11946,14950,21.48,1,2.1,15.8,44.3,130.49645390070924,56.610098470563585,23.215703811158672,92.69,92.69,620.0,50.75,0.5552238805970149,0.7219932559010867,0.09243604158858397,0.9249999999999999,0.04923076923076923,1,0,33,18431.0,28030.0,42484.0,23.28,87.49,184.17,30.87,80.0,High Growth,142,Whitefield is among the fastest appreciating micro-markets with 25.1% YoY growth. Investment score: 86/100. Projected 3-year ROI: 87.1%. Ideal for growth-oriented investors with a medium horizon.,1
Thanisandra,13.0611,77.6296,North,Apartment,2,1110,9250,5840,6379,7220,8172,9250,15.14,0,11.1,6.3,18.9,58.390410958904106,28.116343490304708,12.184335905738708,102.675,51.3375,555.0,29.450000000000003,0.21492537313432836,0.4844511052828775,0.10629658934743678,0.4619565217391305,0.3261538461538461,2,0,31,10422.0,13092.0,16444.0,12.67,41.54,77.77,17.35,49.8,High Growth,1,Thanisandra offers steady 13.1% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.7%.,0
Jayanagar,12.9263,77.5945,South,Apartment,3,1380,15350,10788,11541,12692,13958,15350,9.49,1,9.1,3.9,35.8,42.28772710418984,20.942325874566656,9.217406760584712,211.83,70.61,460.0,48.0,0.5791044776119403,0.27276133383289625,0.25781868154749515,0.8652173913043477,0.2646153846153846,3,0,15,16738.0,19962.0,23861.0,9.04,30.05,55.45,12.26,43.8,Stable,63,Jayanagar offers steady 10.0% annual appreciation. Investment score: 44/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 55.4%.,0
Hulimavu,12.8944,77.6143,South,Villa,2,880,7400,5350,5692,6212,6780,7400,8.86,0,7.3,8.6,45.1,38.31775700934579,19.12427559562138,8.447484915409786,65.12,32.56,440.0,20.15,0.1044776119402985,0.24915698763581867,0.054165105012562643,0.2597826086956522,0.20923076923076922,3,2,12,8015.0,9427.0,11024.0,8.31,27.39,48.97,11.28,34.0,Stable,97,Hulimavu offers steady 9.0% annual appreciation. Investment score: 35/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 49.9%.,0
Nagarbhavi,12.9649,77.5025,West,Builder Floor,1,600,6300,5135,5339,5642,5962,6300,5.87,0,18.9,7.8,41.4,22.687439143135347,11.662531017369728,5.244649323878714,37.8,37.8,600.0,10.400000000000002,0.03880597014925373,0.13713001124016488,0.016241202681880642,0.0478260869565218,0.5661538461538461,4,1,25,6627.0,7326.0,8134.0,5.19,16.29,29.11,7.1,22.9,Stable,80,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Koramangala,12.9374,77.6279,South,Villa,4,3240,22150,13866,15171,17211,19525,22150,14.65,0,5.0,4.9,37.6,59.74325688735035,28.696763697635237,12.423119968873886,717.66,179.415,810.0,26.2,0.9850746268656716,0.46609216935181724,0.9599800108274684,0.391304347826087,0.13846153846153847,3,2,19,24902.0,31467.0,39765.0,12.42,42.06,79.53,17.38,36.1,Premium,23,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Indiranagar,12.9755,77.6456,East,Villa,3,2160,18650,12521,13514,15046,16751,18650,10.68,1,6.3,4.1,37.9,48.94976439581503,23.953210155523063,10.473968480080753,402.84,134.28,720.0,49.75,0.7761194029850746,0.3173473210940427,0.5229667263565568,0.9032608695652173,0.17846153846153845,1,2,13,20615.0,25175.0,30697.0,10.54,34.99,64.6,13.93,44.6,Premium,76,"Indiranagar commands premium pricing at Rs 19,558/sqft with a 11.3% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Hulimavu,12.8958,77.6087,South,Builder Floor,2,1170,7650,5530,5884,6422,7009,7650,9.41,0,6.8,8.0,41.5,38.33634719710669,19.121768919339768,8.45112862238462,89.505,44.7525,585.0,22.45,0.11940298507462686,0.26976395653802926,0.08801482530296088,0.30978260869565216,0.19384615384615383,3,1,12,8308.0,9769.0,11490.0,8.6,27.7,50.2,11.5,35.9,Stable,22,Hulimavu offers steady 9.0% annual appreciation. Investment score: 35/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 49.9%.,0
Malleshwaram,13.0027,77.5697,North,Builder Floor,3,1730,13050,11867,12083,12397,12719,13050,2.71,1,15.0,3.4,26.3,9.968821100530883,5.267403404049366,2.4041111511057256,225.765,75.255,576.6666666666666,46.85,0.4417910447761194,0.0187336080929187,0.27716237038270936,0.8402173913043479,0.4461538461538462,2,1,21,13364.0,14028.0,14736.0,2.41,7.49,12.92,3.24,30.1,Stable,46,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Gottigere,12.8682,77.5983,South,Apartment,2,1260,7100,5232,5546,6022,6539,7100,9.07,0,10.9,8.4,49.2,35.703363914373085,17.901029558286282,7.931360965291323,89.46,44.73,630.0,14.499999999999998,0.08656716417910448,0.25702510303484455,0.08795235913879981,0.13695652173913042,0.32,3,0,7,7659.0,8919.0,10396.0,7.87,25.62,46.42,10.88,31.1,Stable,113,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Richmond Town,12.9598,77.5991,Central,Apartment,1,500,13450,10519,11024,11780,12587,13450,6.23,1,10.8,2.7,32.6,27.863865386443575,14.176570458404075,6.337625239996569,67.25,67.25,500.0,47.900000000000006,0.46567164179104475,0.15061820906706636,0.05712183678285373,0.8630434782608696,0.3169230769230769,0,0,28,14327.0,16194.0,18334.0,6.52,20.4,36.31,8.25,38.4,Stable,23,Richmond Town offers steady 6.8% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Kr Puram,13.0052,77.693,East,Apartment,1,520,10050,5284,5982,7111,8454,10050,16.71,1,6.2,7.2,31.6,90.19682059046177,41.3303332864576,17.435881813490116,52.26,52.26,520.0,53.0,0.2626865671641791,0.5432746346946422,0.0363136634323075,0.9739130434782608,0.1753846153846154,1,0,20,11802.0,16249.0,22385.0,17.43,61.68,122.74,23.12,70.5,High Potential,111,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Electronic City,12.8465,77.6568,South,Villa,2,880,7300,4531,4966,5646,6420,7300,13.98,0,0.9,19.3,60.0,61.11233723239903,29.295076160113354,12.663230362136012,64.24,32.12,440.0,19.1,0.09850746268656717,0.44098913450730615,0.05294354446896819,0.23695652173913048,0.012307692307692308,3,2,5,8213.0,10439.0,13270.0,12.51,43.0,81.78,17.35,45.0,Stable,107,Electronic City offers steady 13.8% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 81.5%.,0
Jp Nagar,12.9075,77.581,South,Apartment,2,880,8950,6471,6885,7514,8201,8950,10.42,1,8.8,6.8,40.8,38.309380312161956,19.11099281341496,8.445842949127291,78.76,39.38,440.0,45.800000000000004,0.19701492537313434,0.30760584488572507,0.0730992934382765,0.8173913043478263,0.25538461538461543,3,0,16,9744.0,11454.0,13566.0,8.87,27.98,51.58,11.9,49.0,High Potential,5,Jp Nagar offers steady 9.1% annual appreciation. Investment score: 47/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 50.3%.,0
Marathahalli,12.9611,77.7038,East,Apartment,2,1190,9250,5840,6379,7220,8172,9250,12.7,0,3.2,9.1,41.9,58.390410958904106,28.116343490304708,12.184335905738708,110.075,55.0375,595.0,25.85,0.21492537313432836,0.39303109778943424,0.11656880300948097,0.3836956521739131,0.08307692307692308,1,0,23,10394.0,13093.0,16458.0,12.37,41.55,77.92,16.37,44.7,Stable,110,Marathahalli offers steady 13.3% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.6%.,0
Anjanapura,12.857,77.5648,South,Builder Floor,2,1080,5750,4408,4637,4982,5352,5750,6.83,0,11.9,10.5,51.4,30.44464609800363,15.415495784825373,6.870185867498191,62.1,31.05,540.0,12.4,0.005970149253731343,0.17309853877856876,0.04997293132886353,0.09130434782608698,0.3507692307692308,3,1,0,6146.0,7026.0,8024.0,6.89,22.19,39.55,8.99,27.2,Stable,120,Anjanapura offers steady 7.5% annual appreciation. Investment score: 28/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 39.4%.,0
Hebbal,13.0323,77.595,North,Apartment,3,1940,16200,10876,11739,13070,14551,16200,11.79,0,10.2,7.2,16.3,48.95182052225083,23.94797245600612,10.474349728201782,314.28,104.75999999999999,646.6666666666666,31.650000000000002,0.6298507462686567,0.3589359310603222,0.40003331528755254,0.5097826086956523,0.29846153846153844,2,0,8,17895.0,21852.0,26658.0,10.46,34.89,64.56,14.37,38.5,Premium,45,"Hebbal commands premium pricing at Rs 16,039/sqft with a 11.4% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
